Sample,Phase,Code,Species,Class,Element,yield,IRSF,C/P,dC,% C,dN,%N,C:N,%S,dS,C:S
CMOF656,IV,OVA,Ovis aries,Mammal,Humerus,49.1,2.5,0.383,-19.8,40.9,3.9,15.16,3.1,0.19,17.3,574.2
CMOF643,V,CEE,Cervus elaphus,Mammal,Humerus,8.4,2.69,0.277,-19.7,42.8,2.9,15.92,3.1,NA,NA,NA
CMOF504,V,CEE,Cervus elaphus,Mammal,Astragalus,10.9,2.69,0.363,-19.8,38.6,3.4,13.92,3.2,NA,NA,NA
CMOF477,V,OVA,Ovis aries,Mammal,Astragalus,10.8,2.59,0.222,-19.5,43.9,5.6,15.58,3.3,0.21,8.8,558.3
CMOF402,III,BOS,Bos taurus,Mammal,Tibia,12.3,2.45,0.355,-19,41.8,7.6,15.79,3.1,NA,NA,NA
CMOF394,V,CAH,Capra hircus,Mammal,Metacarpal,21.4,2.47,0.241,-19.6,27.2,6.4,9.95,3.2,0.17,9.2,426.9
CMOF393,V,BOS,Bos taurus,Mammal,Metatarsal,36.2,2.39,0.42,-20.3,42.1,3.9,15.33,3.2,NA,NA,NA
CMOF353,V,ORC,Oryctolagus cuniculus,Mammal,Calcaneum,23.1,3.31,0.2,-21,42.7,11.1,15.81,3.2,0.23,12.6,495.4
CMOF334,V,ORC,Oryctolagus cuniculus,Mammal,Humerus,11,3.26,0.311,-20.6,43.3,11.2,15.93,3.2,NA,NA,NA
CMOF324,V,ORC,Oryctolagus cuniculus,Mammal,Humerus,7.7,2.79,0.42,-22.9,43.9,4,15.36,3.3,NA,NA,NA
CMOF303,V,OVA,Ovis aries,Mammal,Humerus,17.8,2.39,0.278,-20.2,42.1,7,15.74,3.1,0.2,9.6,562.5
CMOF260,IV,OVA,Ovis aries,Mammal,Metacarpal,6.8,2.61,0.336,-19.8,42.5,5.9,15.91,3.1,NA,NA,NA
CMOF147,IV,BOS,Bos taurus,Mammal,Metacarpal,19.8,2.62,0.4,-20,43,7.2,16.18,3.1,NA,NA,NA
CMOF94,V,BOS,Bos taurus,Mammal,Tibia,34,3.14,0.374,NA,NA,NA,NA,NA,0.2,7.8,NA
CMOF354,IV,S,Sus scrofa,Mammal,Humerus,41.4,2.75,0.285,NA,NA,NA,NA,NA,0.22,11.4,NA
CMOF745,V,GNP,Gallus/Numida/Phasianus,Bird,Carpometacarpal,4.5,2.83,0.296,NA,NA,NA,NA,NA,0.23,15.2,NA
CMOF253,IV,S,Sus scrofa,Mammal,Humerus,16.2,2.65,0.373,NA,NA,NA,NA,NA,0.22,11.9,NA
CMOF374,III,OVA,Ovis aries,Mammal,Metacarpal,15.6,2.41,0.411,NA,NA,NA,NA,NA,0.27,13.4,NA
